ID,Số con gái,Số con trai,Tổng,Sống cùng,Không sống cùng
115181,0,0,1,1,0
4993,0,0,0,0,0
8169,0,0,0,0,0
100224,0,0,0,0,0
12822,0,0,0,0,0
65740,0,0,0,0,0
130781,0,0,0,0,0
129878,0,0,0,0,0
128100,0,1,1,1,0
125991,0,0,0,0,0
91797,0,0,0,0,0
3910,0,0,0,0,0
99941,0,0,0,0,0
108737,0,0,0,0,0
128905,0,0,0,0,0
127237,0,0,0,0,0
112157,0,1,1,0,1
118306,0,0,0,0,0
102329,0,0,0,0,0
105215,0,0,0,0,0
99958,0,0,0,0,0
110376,0,0,0,0,0
8219,0,0,1,1,0
5749,0,0,0,0,0
99080,0,0,0,0,0
102626,0,0,0,0,0
108664,0,0,0,0,0
3590,0,0,0,0,0
133276,0,0,0,0,0
103798,0,0,0,0,0
8681,0,0,0,0,0
126959,0,0,0,0,0
123071,0,0,1,0,1
102862,0,0,0,0,0
113173,0,0,0,0,0
101000,1,1,2,2,0
67108,0,0,0,0,0
55186,0,0,0,0,0
124086,0,0,0,0,0
100675,0,0,0,0,0
102658,0,0,0,0,0
112475,0,0,0,0,0
123563,0,0,0,0,0
99789,0,0,0,0,0
113171,0,0,0,0,0
768,0,1,1,0,1
125964,0,0,0,0,0
9348,0,0,0,0,0
485,0,0,0,0,0
77884,0,0,0,0,0
3992,0,0,0,0,0
63568,0,0,0,0,0
