ID,height
127943,165.0
128418,15.5
128304,150.0
129898,178.0
133794,163.0
133986,158.0
124255,172.0
125069,165.0
128995,155.0
133658,180.0
122371,164.0
132507,165.0
127832,156.0
123555,157.0
128108,155.0
107871,15.4
124273,153.0
134005,163.0
123791,168.0
128606,161.0
126288,159.0
125569,150.0
124355,159.0
131268,156.0
128295,153.0
3560,
129586,160.0
127567,150.0
108303,165.0
127412,158.0
133778,165.0
132314,165.0
129018,155.0
832,170.0
102759,159.0
130173,158.0
130521,166.0
122370,167.0
66034,169.0
125121,155.0
131117,162.0
126876,165.0
108573,170.0
132475,155.0
128706,157.0
125474,165.0
124059,162.0
121398,158.0
127610,155.0
124599,160.0
127259,157.0
128910,150.0
128514,150.0
131338,160.0
121437,152.0
112736,160.0
109737,160.0
131959,156.0
133932,161.0
9615,173.0
123239,160.0
130439,163.0
129128,174.0
127982,163.0
121580,164.0
124918,160.0
126220,159.0
133066,160.0
124911,160.0
127114,154.0
9464,160.0
132513,160.0
122446,153.0
132805,163.0
126344,158.0
126037,171.0
131689,152.0
127945,158.0
127508,162.0
132941,170.0
122658,155.0
128791,158.0
124915,160.0
134150,160.0
131702,172.0
129637,169.0
109155,15.4
122769,163.0
124692,159.0
132479,165.0
125072,163.0
126885,170.0
122516,158.0
112854,164.0
122908,162.0
128473,152.0
52687,170.0
124876,160.0
129381,159.0
120156,158.0
120597,
98817,175.0
122098,160.0
133417,161.0
128537,170.0
120417,170.0
122474,155.0
124708,156.0
125296,170.0
130420,165.0
64316,170.0
122449,160.0
123379,158.0
127498,165.0
133270,168.5
127320,170.0
121002,170.0
128012,162.0
127063,158.0
134067,160.0
128345,175.0
124155,171.0
124484,163.0
124572,167.0
4378,158.0
131289,170.0
116303,168.0
93753,158.0
121807,167.0
101622,161.0
103704,154.0
124901,163.0
109029,158.0
102583,168.0
118458,152.0
61704,173.0
123789,164.0
125210,165.0
133588,167.0
110285,16.0
119633,168.0
102587,168.0
100246,172.0
106895,170.0
125890,156.0
9472,170.0
5267,167.0
134531,160.0
104948,160.0
119660,170.0
127233,160.0
65878,173.0
109601,168.0
112101,17.2
132827,16.299999999999997
131923,160.0
128567,160.0
117830,17.9
121575,163.0
127260,166.0
122825,168.0
110532,170.0
127752,163.0
124799,
124967,155.0
124298,160.0
121666,156.0
104012,176.0
131368,170.0
103640,167.0
67702,160.0
118163,160.0
100313,170.0
103102,161.0
124941,152.0
125512,168.0
117430,170.0
123532,16.8
3712,165.0
101732,165.0
1329,172.0
108885,170.0
108404,150.0
122736,162.0
62530,163.0
102288,167.0
8523,168.0
124927,152.0
9750,168.0
129383,169.0
2746,175.0
4792,173.0
67603,160.0
108489,155.0
125001,165.0
103783,160.0
126785,15.6
108629,158.0
124004,160.0
102104,164.0
55461,165.0
127422,16.0
107938,163.0
112414,173.0
113437,162.0
124354,165.0
124437,157.0
123688,
130685,170.0
33568,165.0
130034,158.0
125277,152.0
53169,150.0
112434,154.0
121706,16.4
66695,173.0
108493,170.0
105848,170.0
130273,170.0
127802,152.0
122113,180.0
125554,150.0
120478,166.0
116264,166.0
128689,168.0
4738,169.0
108734,161.0
119694,170.0
81018,160.0
93807,154.0
111070,177.0
108622,170.0
5788,162.0
2527,163.0
99539,168.0
108420,170.0
27184,168.0
98,172.0
127484,155.0
53758,162.0
116276,165.0
39077,166.0
54025,170.0
159,174.0
104057,160.0
110103,160.0
124775,158.0
55500,165.0
132136,168.0
112642,170.0
106040,160.0
123241,160.0
113696,177.0
8354,172.0
93688,168.0
111060,168.0
