id,education
107836,Trên đại học
110539,Đại học
110819,Trên đại học
119916,Đại học
62500,Đại học
1441,Đại học
70,Dưới đại học
9338,Trên đại học
66078,Đại học
723,Dưới đại học
9774,Đại học
39947,Đại học
100877,Đại học
100775,Đại học
99671,Dưới đại học
125937,Đại học
128804,Đại học
106438,Đại học
126833,
98712,Dưới đại học
133,Đại học
4422,Đại học
36662,Dưới đại học
4603,Đại học
4277,Đại học
108415,Đại học
783,Đại học
94013,Đại học
102699,Dưới đại học
55843,Đại học
2225,Dưới đại học
54408,Đại học
67000,Đại học
125055,Đại học
93973,Đại học
116705,Đại học
105586,Đại học
127015,Đại học
128011,Trên đại học
126352,Đại học
125619,Đại học
134279,Đại học
108339,Đại học
9573,Dưới đại học
126470,Dưới đại học
66849,Đại học
102278,Đại học
98741,Đại học
131476,Đại học
124427,Đại học
107130,Dưới đại học
129575,Đại học
109397,Trên đại học
9130,Đại học
129278,Đại học
122130,Đại học
110167,Đại học
120508,Đại học
121494,Đại học
50790,Đại học
4640,Đại học
52250,Đại học
8513,Đại học
103484,Đại học
67487,Trên đại học
5002,Đại học
45872,Đại học
4927,Dưới đại học
115181,Đại học
4993,Dưới đại học
8169,Đại học
100224,Dưới đại học
12822,Đại học
65740,Đại học
130781,Đại học
129878,Trên đại học
128100,Dưới đại học
125991,Đại học
91797,Đại học
3910,Đại học
99941,Đại học
108737,Đại học
128905,Đại học
127237,Đại học
112157,Dưới đại học
118306,Dưới đại học
102329,Đại học
105215,Dưới đại học
99958,Đại học
110376,Đại học
8219,Đại học
5749,Đại học
99080,Đại học
102626,Dưới đại học
108664,Đại học
3590,Đại học
133276,Dưới đại học
103798,Trên đại học
8681,Đại học
126959,Dưới đại học
123071,Dưới đại học
102862,Dưới đại học
113173,Đại học
101000,Đại học
67108,Đại học
55186,Đại học
124086,Trên đại học
100675,Đại học
102658,Đại học
112475,Đại học
123563,Đại học
99789,Trên đại học
113171,Dưới đại học
768,Đại học
125964,Đại học
9348,Đại học
485,Trên đại học
77884,Đại học
3992,Đại học
63568,Đại học
110506,Đại học
108523,Đại học
67636,Đại học
4980,Trên đại học
66001,Đại học
122620,Dưới đại học
126624,Dưới đại học
55319,Đại học
92839,Dưới đại học
110451,Đại học
129178,Đại học
113181,Đại học
45993,Đại học
4958,Đại học
120425,Đại học
93397,Đại học
28465,Đại học
6798,Dưới đại học
6243,Đại học
9342,Đại học
66143,Đại học
2258,Đại học
6968,Đại học
101511,Đại học
66016,Đại học
5153,Đại học
1331,Đại học
2958,Đại học
130783,Đại học
126694,Dưới đại học
118750,Đại học
100395,Đại học
102784,Trên đại học
114827,Dưới đại học
116343,Du học
104208,Dưới đại học
9004,Đại học
6067,Trên đại học
105981,Đại học
105196,Đại học
55357,Đại học
131482,Đại học
93489,Đại học
120617,Dưới đại học
9782,Đại học
9761,Đại học
66376,Đại học
107209,Đại học
123108,Đại học
129763,Đại học
101142,Đại học
1239,Đại học
52856,Dưới đại học
136,Đại học
49827,Đại học
99509,Đại học
1585,Đại học
110039,Đại học
104285,Đại học
130944,Dưới đại học
108749,Dưới đại học
66625,Dưới đại học
35106,Đại học
3861,Đại học
111213,Dưới đại học
9470,Dưới đại học
