ID,income
127943,20000000
128418,35000000
128304,50000000
129898,100000000
133794,20000000
133986,5000000000
124255,100000000
125069,
128995,25000000
133658,
122371,12000000
132507,
127832,50000000
123555,
128108,40000000
107871,35000000
124273,15000000
134005,20000000
123791,
128606,35000000
126288,
125569,27000000
124355,25000000
131268,20000000
128295,
3560,
129586,400000000
127567,
108303,20000000
127412,25000000
133778,
132314,50000000
129018,
832,
102759,15000000
130173,10000000
130521,
122370,80000000
66034,
125121,10000000
131117,250000000
126876,17000000
108573,30000000
132475,16000000
128706,
125474,
124059,
121398,20000000
127610,
124599,25000000
127259,20000000
128910,32000000
128514,40000000
131338,12000000
121437,
112736,15000000
109737,20000000
131959,
133932,35000000
9615,11000000
123239,
130439,20000000
129128,15000000
127982,
121580,14000000
124918,20000000
126220,60000000
133066,15000000
124911,10000000
127114,20000000
9464,30000000
132513,15000000
122446,16000000
132805,20000000
126344,50000000
126037,12000000
131689,
127945,125000000
127508,
132941,30000000
122658,15000000
128791,30000000
124915,20000000
134150,15000000
131702,2000000000
129637,20000000
109155,10000000
122769,
124692,30000000
132479,110000000
125072,10000000
126885,50000000
122516,
112854,20000000
122908,50000000
128473,50000000
52687,70000000
124876,30000000
129381,
120156,15000000
120597,
98817,35000000
122098,11000000
133417,35000000
128537,30000000
120417,
122474,10000000
124708,30000000
125296,17000000
130420,10000000
64316,40000000
122449,
123379,24000000
127498,24000000
133270,15000000
127320,33000000
121002,50000000
128012,50000000
127063,70000000
134067,19000000
128345,40000000
124155,25000000
124484,20000000
124572,75000000
4378,10000000
131289,
116303,30000000
93753,10000000
121807,40000000
101622,5000000
103704,15000000
124901,12000000
109029,
102583,
118458,30000000
61704,32000000
123789,12000000
125210,44000000
133588,
110285,
119633,20000000
102587,50000000
100246,10000000
106895,30000000
125890,7000000
9472,22000000
5267,20000000
134531,25000000
104948,40000000
119660,12000000
127233,
65878,
109601,30000000
112101,2000000000
132827,10000000
131923,400000000
128567,400000000
117830,20000000
121575,16000000
127260,20000000
122825,20000000
110532,25000000
127752,100000000
124799,
124967,50000000
124298,
121666,35000000
104012,30000000
131368,
103640,15000000
67702,600000
118163,15000000
100313,20000000
103102,10000000
124941,
125512,
117430,40000000
123532,10000000
3712,10000000
101732,
1329,
108885,15000000
108404,10000000
122736,11000000
62530,15000000
102288,20000000
8523,20000000
124927,45000000
9750,30000000
129383,
2746,
4792,50000000
67603,100000000
108489,18000000
125001,30000000
103783,
126785,70000000
108629,6000000
124004,20000000
102104,
55461,8000000
127422,50000000
107938,12000000
112414,100000000
113437,10000000
124354,26000000
124437,22000000
123688,10000000
130685,7000000
33568,30000000
130034,30000000
125277,40000000
53169,
112434,28000000
121706,200000000
66695,80000000
108493,
105848,17000000
130273,
127802,4000000
122113,100000000
125554,
120478,25000000
116264,32000000
128689,
4738,10000000
108734,30000000
119694,200000000
81018,9000000
93807,8000000
111070,
108622,40000000
5788,5000000
2527,20000000
99539,
108420,15000000
27184,
98,25000000
127484,2000000000
53758,5000000
116276,
39077,18000000
54025,30000000
159,30000000
104057,32000000
110103,24000000
124775,50000000
55500,
132136,
112642,35000000
106040,600000000
123241,120000000
113696,11000000
8354,500000
93688,
111060,8000000
134316,20000000
117748,35000000
100720,
79531,25000000
47288,20000000
121455,
99342,15000000
114985,
123774,30000000
117130,8000000
61229,10000000
15520,10000000
102916,30000000
56417,10000000
131008,20000000
116746,30000000
129837,20000000
126778,30000000
62458,20000000
130060,
67074,10000000
99603,40000000
195,30000000
2614,15000000
104344,11000000
117122,15000000
108221,18000000
62505,
118745,24000000
119401,7000000
102663,10000000
99095,20000000
8619,100000000
99880,12000000
6817,5000000
104503,
107320,30000
107383,14000000
111741,30000000
93622,
123881,1000000000
5301,10000000
99553,8
113612,10000000
112190,20000000
94072,500000
108092,15000000
121642,15000000
107975,11000000
122612,20000000
